*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2016 319    46    37    988  4.2331  0.0868  3.0975  0.7474  0.3874 0.01792  3.852  6.132 21.253 19.322  4.5610  4.6529 57.8408
 2016 320    47    38   1023  6.8337  0.0760  4.4799  1.5240  0.3712 0.02788  3.856  6.131 20.003 16.652  4.5330  4.3176 58.3508
 2016 321    48    39   1075  9.5568  0.0780  6.3194  2.1272  0.4848 0.04329  3.875  6.186 22.189 17.317  4.5280  4.2908 58.4095
 2016 322    49    40   1134 10.4741  0.0795  6.9345  2.3388  0.5089 0.04982  3.897  6.256 22.397 16.886  4.5236  4.2373 58.4901
 2016 323    50    41   1189 10.2088  0.0929  6.8136  2.2039  0.6050 0.05001  3.917  6.297 23.695 18.864  4.5343  4.3729 58.2881
 2016 324    51    42   1244 10.1122  0.0985  6.7372  2.1903  0.5953 0.05184  3.933  6.330 23.170 18.477  4.5368  4.4169 58.2280
 2016 325    52    43   1311 11.6152  0.0818  7.6784  2.6844  0.3876 0.06486  3.956  6.421 17.470 13.286  4.5331  4.1717 58.4963
 2016 326    53    44   1348 10.8556  0.0742  7.2116  2.5072  0.3420 0.06310  3.977  6.507 17.461 11.458  4.5355  4.8805 57.8137
 2016 327    54    45   1414 11.3316  0.0894  7.5325  2.5669  0.4568 0.06821  3.995  6.578 20.284 13.679  4.5314  4.5774 58.1352
 2016 328    55    46   1464  9.6375  0.1155  6.5070  2.0207  0.6404 0.05804  4.004  6.587 24.007 18.113  4.5322  4.5476 58.1530
 2016 329    56    47   1475  9.9085  0.1333  6.6380  2.0381  0.7746 0.06002  4.012  6.580 25.020 20.308  4.5542  4.4417 58.4235
 2016 330    57    48   1529 10.9408  0.1402  7.2349  2.2726  0.8768 0.07068  4.023  6.584 25.603 21.364  4.5709  4.5499 58.1341
 2016 331    58    49   1578 10.1399  0.1439  6.8285  2.0931  0.7469 0.06790  4.030  6.577 23.740 19.570  4.5702  4.5797 58.0560
 2016 332    59    50   1637 11.1934  0.1351  7.4156  2.4404  0.6569 0.08011  4.040  6.604 22.335 17.194  4.5619  4.5210 58.1332
 2016 333    60    51   1651  9.2153  0.1507  6.3110  1.8678  0.6767 0.06912  4.045  6.590 22.707 18.340  4.5495  4.5917 58.1069
 2016 334    61    52   1705 11.3447  0.1588  7.4412  2.3330  0.9954 0.08546  4.053  6.595 26.185 21.955  4.5738  4.6788 57.8358
 2016 335    62    53   1740  8.4492  0.1751  5.7548  1.5836  0.9093 0.06344  4.047  6.542 25.150 22.164  4.5943  4.7481 57.6130
 2016 336    63    54   1761 10.4806  0.1756  6.8482  2.1210  1.0198 0.07960  4.045  6.520 25.798 22.410  4.6273  4.6382 57.9852
 2016 337    64    55   1827 13.0281  0.1639  8.6330  2.8160  0.7877 0.10856  4.060  6.556 22.040 18.084  4.6020  4.5814 58.0517
 2016 338    65    56   1895 13.1908  0.1611  8.7462  2.8484  0.8019 0.11192  4.074  6.598 22.923 17.661  4.5837  4.5220 58.1285
 2016 339    66    57   1957 12.9082  0.1864  8.5650  2.6303  1.0992 0.10761  4.084  6.607 25.920 21.465  4.5958  4.6258 57.8696
 2016 340    67    58   1953 10.3414  0.1976  6.8451  1.9850  1.1629 0.08274  4.080  6.569 27.168 23.116  4.6379  4.5161 58.2377
 2016 341    68    59   1968  5.7160  0.2065  4.1430  0.8569  0.8855 0.03948  4.056  6.455 25.247 21.966  4.6410  4.6380 57.8872
 2016 342    69    60   2034 13.6693  0.1984  8.5798  3.0813  0.9380 0.11303  4.053  6.465 22.698 19.184  4.6215  4.6368 57.8855
 2016 343    70    61   2036 11.1265  0.1903  7.6569  2.2905  0.6944 0.09807  4.058  6.457 19.922 16.610  4.5858  4.8748 57.5337
 2016 344    71    62   2087 10.1510  0.1573  6.8493  2.2291  0.4586 0.09813  4.062  6.473 15.508 13.134  4.5735  4.5304 57.9424
 2016 345    72    63   2164 14.4397  0.1771  9.5115  3.2285  0.6953 0.14407  4.077  6.537 20.025 14.976  4.5615  4.3647 58.1731
 2016 346    73    64   2215 11.0029  0.2116  7.5530  2.1924  0.8592 0.10122  4.076  6.514 22.817 18.237  4.5562  4.3858 58.1748
